Location name,Amount spent (RON)
Alba County,654
Arad County,772
Argeș County,1431
Bacău County,823
Bihor County,1080
Bistrița-Năsăud County,510
Botoșani County,501
Brașov County,1181
Brăila County,541
Bucharest,4126
Buzău County,582
Caraș-Severin County,327
Cluj County,1552
Constanța County,1187
Covasna County,764
Călărași County,446
Dolj County,849
Dâmbovița County,712
Galați County,837
Giurgiu County,344
Gorj County,804
Harghita County,1342
Hunedoara County,555
Ialomița County,311
Iași County,1419
Ilfov County,746
Maramureș County,691
Mehedinți County,299
Mureș County,1365
Neamț County,963
Olt County,508
Prahova County,1934
Satu Mare County,636
Sibiu County,634
Suceava County,844
Sălaj County,406
Teleorman County,347
Timiș County,1456
Tulcea County,278
Unknown,≤100
Vaslui County,436
Vrancea County,576
Vâlcea County,587
