Location name,Amount spent (HUF)
Baranya County,128967
Borsod-Abaúj-Zemplén County,144317
Budapest,662476
Bács-Kiskun County,122193
Békés County,84983
Csongrád County,121554
Fejér County,130621
Győr-Moson-Sopron County,118003
Hajdú-Bihar County,211103
Heves County,70456
Jász-Nagykun-Szolnok County,98520
Komárom-Esztergom County,71857
Nógrád County,42724
Pest County,262505
Somogy County,72356
Szabolcs-Szatmár-Bereg County,138900
Tolna County,62429
Unknown,≤100
Vas County,64479
Veszprém County,81195
Zala County,73026
