Location name,Amount spent (AUD)
Australian Capital Territory,2873
Jervis Bay Territory,≤100
New South Wales,26130
Northern Territory,918
Queensland,20548
South Australia,7265
Tasmania,2770
Unknown,≤100
Victoria,25519
Western Australia,9192
