Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
102762215788405,VOS.gt,VOS.gt,1032,2
1911003529195315,Roberto Arzú,Roberto Arzú García-Granados,349,1
115400548040796,Guate Al Día,Guate al Dia,235,10
101405406148203,Valor Suchitepequez,Byron Estuardo Villatorio Liu,≤100,2
119057720784594,El Búho,El Búho,≤100,1
304499560287545,Mariano Portillo,These ads ran without a disclaimer,≤100,1
313343692104320,Resistencia y Liberación,These ads ran without a disclaimer,≤100,1
101925074984327,Bunko,These ads ran without a disclaimer,≤100,2
102130299317180,Easy Scanner-G,These ads ran without a disclaimer,≤100,1
1900502890185321,MMA Fighter,These ads ran without a disclaimer,≤100,1
109376494661183,Aliaxis Latam,These ads ran without a disclaimer,≤100,1
105648402241230,Join the dots,These ads ran without a disclaimer,≤100,1
105073207967492,CTG Perú,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,2
319739671441859,Floripa Mil Grau,These ads ran without a disclaimer,≤100,1
101769325674257,naseartsconsortium,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
