Location name,Amount spent (THB)
Amnat Charoen,118
Ang Thong,≤100
Ayutthaya,1102
Bangkok,27383
Bueng Kan,119
Buriram,424
Chachoengsao,1985
Chai Nat,171
Chaiyaphum,310
Chanthaburi,680
Chiang Mai,1362
Chiang Rai,680
Chon Buri,11956
Chumphon,1103
Kalasin,266
Kamphaeng Phet,345
Kanchanaburi,516
Khon Kaen,825
Krabi,255
Lampang,394
Lamphun,200
Loei,218
Lop Buri,231
Mae Hong Son,109
Maha Sarakham,319
Mukdahan,127
Nakhon Nayok,110
Nakhon Pathom,3027
Nakhon Phanom,336
Nakhon Ratchasima,1283
Nakhon Sawan,1229
Nakhon Si Thammarat,1485
Nan,146
Narathiwat,162
Nong Bua Lam Phu,180
Nong Khai,190
Nonthaburi,1338
Pathum Thani,1070
Pattani,282
Phangnga,157
Phatthalung,479
Phayao,366
Phetchabun,251
Phetchaburi,187
Phichit,267
Phitsanulok,2195
Phrae,172
Phuket,9096
Prachin Buri,265
Prachuap Khiri Khan,246
Ranong,234
Ratchaburi,841
Rayong,859
Roi Et,366
Sa Kaeo,303
Sakon Nakhon,352
Samut Prakan,1578
Samut Sakhon,1111
Samut Songkhram,592
Saraburi,311
Satun,218
Sing Buri,≤100
Sisaket,407
Songkhla,2267
Sukhothai,271
Suphan Buri,440
Surat Thani,12298
Surin,385
Tak,182
Trang,258
Trat,834
Ubon Ratchathani,620
Udon Thani,658
Unknown,≤100
Uthai Thani,163
Uttaradit,175
Yala Province,168
Yasothon,168
