Location name,Amount spent (NZD)
Auckland Region,2501
Bay of Plenty Region,440
Canterbury,954
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,278
Manawatu-Wanganui,364
Marlborough Region,≤100
Nelson Province,104
Niue,≤100
Northland Region,304
Otago,339
Southland,142
Taranaki,185
Tasman District,≤100
Unknown,≤100
Waikato,745
Wellington Region,724
West Coast,≤100
