Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
414127029025760,CABAL,CABAL,14048,7
331961940541181,Partido Victoria,Partido Político Victoria,10495,10
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,6337,1
110226594945647,Partido BIEN,Partido BIEN,1092,10
187073013532,Partido VIVA,Partido Político Visión con Valores,1008,6
100169482992019,Sebastián Arzú,Sebastián Arzú,863,4
1911003529195315,Roberto Arzú,Roberto Arzú García-Granados,853,5
142373979127061,Partido Unionista,Partido Unionista,747,15
196258110831945,Partido Valor,Partido Valor,527,15
109189810962889,Comunidad Elefante,Shorik Yann Mejia Blanco,392,2
103825294800306,Diario Guatemala,Sonny Rafael Gonzalez Paniagua,391,2
1882597935332956,Partido VAMOS,Partido VAMOS,323,1
101372268406640,Unión Republicana,Unión Republicana,146,2
1552532851481889,Buckner Guatemala,Buckner Guatemala,123,28
122851700741399,Correr la bola,Correr la bola,113,7
101099789269274,Antonio Rodriguez,Antonio Rodriguez,110,1
110582257361172,Partido Azul,Partido Azul,≤100,6
787464724775213,David Chic,David Fernando Chic Jimenez,≤100,1
1710300235853890,Noticiero El Vigilante,Noticiero El Vigilante,≤100,1
111135201593853,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,≤100,1
106908785419555,Goberna Guatemala,Goberna,≤100,4
122577984102328,Cotilleo,Cotilleo,≤100,9
112086655128494,Danilo Mazariegos,Dilan Daniel,≤100,3
1212640285520369,Asociación Política Caminemos,Asociación Política Caminemos,≤100,1
104198917984643,Noticias Concepción Tutuapa,Jennifer Lopez,≤100,1
391831020911364,Luis Carlos Rivero - Fondista -,Luis Carlos Rivero - Fondista -,≤100,2
111035383962426,Noticias Tacaná,Jennifer Lopez,≤100,1
103232488084729,Noticias Río Blanco S.M.,Jennifer Lopez,≤100,1
101523721591377,Noticias Tejutla,Jennifer Lopez,≤100,1
103769008029892,Noticias San Marcos,Jennifer Lopez,≤100,1
101971388212641,Noticias Pajapita S.M.,Jennifer Lopez,≤100,1
114103503653411,Noticias Nuevo Progreso S.M.,Jennifer Lopez,≤100,1
100787838332962,Noticias San José el Rodeo,Jennifer Lopez,≤100,1
113863513676957,Noticias San Rafael Pie De La Cuesta,Jennifer Lopez,≤100,1
111363940595440,Noticias Ocós S.M.,Jennifer Lopez,≤100,1
100373105041599,Noticias Sipacapa,Jennifer Lopez,≤100,1
100552105023362,Noticias el Tumbador,Jennifer Lopez,≤100,1
102359978173169,Noticias San Lorenzo S.M.,Jennifer Lopez,≤100,1
102241754851760,Noticias El Quetzal S. M.,Jennifer Lopez,≤100,1
110744673991505,Noticias Tajumulco,Jennifer Lopez,≤100,1
109293990804478,Noticias Ixchiguán,Jennifer Lopez,≤100,1
104459661292913,Noticias San Miguel Ixtahuacán,Jennifer Lopez,≤100,1
101559144921198,Noticias San Pedro Sacatepéquez,Jennifer Lopez,≤100,1
109663920767127,Noticias Comitancillo,Jennifer Lopez,≤100,1
103267651414497,Noticias Esquipulas Palo Gordo,Jennifer Lopez,≤100,1
114098550320514,Noticias La Blanca S.M.,Jennifer Lopez,≤100,1
110198674046882,Noticias San Cristóbal Cucho,Jennifer Lopez,≤100,1
114466183616195,Noticias Ayutla,Jennifer Lopez,≤100,1
103222091419273,Noticias San José Ojetenam,Jennifer Lopez,≤100,1
101486344928292,Noticias Sibinal,Jennifer Lopez,≤100,1
103134718094665,Noticias San Pablo S. M.,Jennifer Lopez,≤100,1
104089457996473,Noticias Malacatán,Jennifer Lopez,≤100,1
103892081351211,Noticias Catarina S.M.,Jennifer Lopez,≤100,1
108066250929809,Noticias San Antonio Sacatépequez,Jennifer Lopez,≤100,1
142556265766634,Guatemala Visible,Guatemala Visible,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
104427078644876,Ojo Ciudadano TV,Ojo Ciudadano TV,≤100,1
101195172935082,AveriGuate,AveriGuate,≤100,4
120022507675808,Página que te avisa si Edmond Mulet ya Murió,Página que te avisa si Edmond,≤100,3
100747189646660,Política a la Tortrix,Política a la Tortrix,≤100,3
120436067618344,La presidenta,La presidenta,≤100,4
122916017388418,Salamandra Torres,Salamandra Torres,≤100,4
119274074432076,Ciudad Metrópolis,Ciudad Metrópolis,≤100,4
331098877054420,Morales para ti,Morales para ti,≤100,1
119774411035856,Zury Sama,Zury Sama,≤100,2
104069167998061,Noticias La Reforma S.M.,Jennifer Lopez,≤100,1
123752213957960,Lo que Sandra se llevó,Lo que Sandra se llevó,≤100,4
111083754946084,Partido Humanista San Marcos -PHG-,Partido Humanista San Marcos -PHG-,≤100,1
107967548918085,Izquierda GT,Izquierda GT,≤100,4
754661271544464,El Sol de Mixco,El Sol de Mixco,≤100,1
107447588914077,Nosotros Carcha,These ads ran without a disclaimer,≤100,1
105932339114662,Pedro René Escobar,Pedro Si Vá,≤100,1
103624499324342,KYHK,These ads ran without a disclaimer,≤100,4
858956930808046,Centro Iberoamericano de Estudios de Foto y Cine,These ads ran without a disclaimer,≤100,1
175346789490397,Peyi Paternina,These ads ran without a disclaimer,≤100,1
171522852874952,Juventus,These ads ran without a disclaimer,≤100,1
116704324641637,Fundacion De Búsqueda Y Rescate De Migrantes,These ads ran without a disclaimer,≤100,1
155438574470276,DW українською,These ads ran without a disclaimer,≤100,1
