Location name,Amount spent (RON)
Alba County,243
Arad County,410
Argeș County,495
Bacău County,535
Bihor County,367
Bistrița-Năsăud County,252
Botoșani County,244
Brașov County,378
Brăila County,197
Bucharest,1782
Buzău County,253
Caraș-Severin County,248
Cluj County,573
Constanța County,461
Covasna County,155
Călărași County,203
Dolj County,440
Dâmbovița County,274
Galați County,452
Giurgiu County,110
Gorj County,241
Harghita County,288
Hunedoara County,337
Ialomița County,144
Iași County,748
Ilfov County,319
Maramureș County,408
Mehedinți County,157
Mureș County,459
Neamț County,519
Olt County,208
Prahova County,405
Satu Mare County,240
Sibiu County,252
Suceava County,411
Sălaj County,148
Teleorman County,182
Timiș County,529
Tulcea County,127
Unknown,≤100
Vaslui County,214
Vrancea County,220
Vâlcea County,217
