Location name,Amount spent (BRL)
Acre (state),260
Alagoas,1122
Amapá,445
Amazonas,2367
Bahia,5414
Ceará,4162
Espírito Santo,1850
Federal District,1943
Goiás,4630
Maranhão,2033
Mato Grosso,2275
Mato Grosso do Sul,1450
Minas Gerais,12646
Paraná,5738
Paraíba,1611
Pará,2890
Pernambuco,4606
Piauí,1237
Rio Grande do Norte,1319
Rio Grande do Sul,11247
Rio de Janeiro (state),9670
Rondônia,713
Roraima,314
Santa Catarina,3770
Sergipe,1349
São Paulo (state),28952
Tocantins,564
Unknown,≤100
