Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,1172076,20
101871502791636,Carlos Acosta Juliao Oficial,Carlos Acosta Juliao Oficial,510708,5
251292808253299,Canadian College,Canadian College,433816,15
108827338788235,Por la defensa de Cali,POR LA DEFENSA DE CALI,283220,2
108576731393581,Juliana Enciso,Claudia Juliana Enciso Montes,256158,6
1059459884138781,Mauricio Tobón Franco.,Mauricio Tobón Franco,223091,2
108158921672438,Llener Borja,Alvaro Jose Gomez Ramirez,211585,11
1137324852947717,Sandra Hernández,Digital Tech Ideas S.A.S,208786,1
103754197881668,Esteban Restrepo,Fredy Esteban Restrepo Taborda,206790,1
418155555015037,Germán Escobar Cundinamarca,German Mauricio Escobar,201247,2
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,188591,3
256488875025665,Juan Bocanegra,Juan Carlos Bocanegra Chacón,168569,2
391099551688976,Manuel Correa,Manuel Correa,165006,9
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,153320,10
108233262091178,David Islem R,David Islem R,149995,2
480612205430156,Deninson Mendoza,Deninson Mendoza Ramos,149024,1
104328067049129,Niñez YA - Sociedad civil por la niñez y la adolescencia,NiñezYA - Sociedad civil por la niñez y la adolescencia,147222,7
114317847146525,Alvaro Arias Velez,Alvaro Arias Velez,141523,2
104472845840664,Juan Carlos Corrales,Juan Carlos Corrales,135163,5
111009515199981,Juan Fernando Alvarez Méndez,Juan Fernando Alvarez Méndez,131846,2
664142747350164,Tatiana López Saldarriaga,Tatiana López Saldarriaga,129815,109
601336570076276,Rodolfo Correa,Rodolfo Andres Vargas Correa,124523,5
1622001728047397,Harman Alcalde,Harman Alcalde,106504,17
1640791072871544,Fabián Rojas,Fabian Mauricio Rojas Garcia,104845,6
108379099286148,Alcaldía Mayor de Bogotá,Alcaldía Mayor de Bogotá,103594,4
131753023639902,Aldemar Alfaro,Aldemar Alfaro Rivero,83791,1
101897976168381,Vamos a crecer,Vamos a crecer,74871,3
499121313802137,Túnel Guillermo Gaviria Echeverri,Túnel Guillermo Gaviria Echeverri,74517,2
1966684743593773,Chucho Limonada,Bayron Morales Linares,72197,1
201014753267112,Andrés Fernando Mesa Valencia,Andres Fernando Mesa Valencia,69939,2
100232346317619,David Enrique Arango Quintana,David Enrique Arango Quintana,68777,6
489327244878254,Carlos Parra,Carlos Parra,66534,3
232287230205457,IDU Bogotá,Instituto de Desarrollo Urbano : IDU,64399,5
348227052718193,Independientes,Independientes,62006,1
104969865721375,Profes.movimientociudadano,John Bazurto,60466,6
859664117498334,Martha Alzate,Martha Alzate,59627,2
214167541938411,Juan Pablo Gallo,Juan Pablo Gallo,57375,45
105848177845789,All Out en español,All Out Action Fund,56316,2
110673818587137,Eicman Murillo,Jamundí para Todos,56301,2
581095835894514,Noticentro 1 CM&,Noticentro 1 CM&,56265,4
102443416034705,Paula Toro Santana,Paula Toro Santana,55558,4
116430736811606,Ever Villegas,Ever Antonio Villegas Morante,52965,28
102752811395566,Harvey Restrepo M,Harvey Restrepo Muñoz,52829,1
105459022029789,Luis Gregorio Moreno Mosquera,Luis Gregorio Moreno Mosquera,51963,1
1431777413774882,Wilson Ruiz Orejuela,Wilson Ruiz Orejuela,49845,1
1147318942107929,Todos Somos Una,DEBRAIN LLC,44724,2
915743661945208,Alejandro Eder,Alejandro Eder,44534,19
102143071616787,Goberna Colombia,Goberna,41589,4
350160788433059,Proclama Cauca y Valle,Proclama Cauca y Valle,40287,5
749177381856407,Camilo Calle,Camilo Calle,37428,2
103445938692040,Sebastián Morales,Sebastian Morales,36719,9
2341225942579432,Edwin Marín Concejal,Edwin Fabian Marin Marin,36486,1
370492339735164,Centro Democrático - Comunidad Oficial,Centro Democrático - Comunidad Oficial,35812,2
107204794960194,Instituto Técnico La Salle,Instituto Técnico La Salle,34244,5
101170393279528,Rodrigo Villalba Mosquera,Martha Diaz,33075,2
107096255516225,Juan Pablo Cano P,Juan Pablo Cano Pulgarin,31036,3
257401965136834,Carlos Marroquín,Carlos Andres Marroquin Luna,30899,1
838927469815494,Diana Diago,Diana Marcela Diago,30328,4
1576524665931896,Carlos Amaya Primero Villanueva,Carlos Amaya Primero Villanueva,30103,3
103084375858203,Mi Campaña Aplicación,BJS inversiones,29909,7
132840983520233,Gobernación del Atlántico,Gobernación del Atlántico,29856,1
203430623324381,Sutet Simatol,Luis Hernan Lozano Sabogal,28614,1
104701351208795,"Secretaría de Infraestructura, Renovación Urbana y Vivienda","Secretaría de Infraestructura, Renovación Urbana y Vivienda",28536,1
1267275856714996,Diputado Yamith Vanegas,Diputado Yamith Vanegas,27487,7
109799108388155,El Cuarto Poder,El Cuarto Poder,25425,1
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,24977,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,24168,1
101672785855145,Irina Salas,Irina Salas,23269,3
1575300589428722,Tony Flores Oficial,These ads ran without a disclaimer,23149,1
789907401124930,Partido Humanista De Colombia,David Nassar Moor,23149,1
417060811811167,Juan David Duque García,Juan David Duque Garcia,22866,1
114636997892974,Camilo Manchola,Camilo Manchola,22294,1
103529342346614,Juan Andrés Ruiz Frutos,Juan Andres Ruiz Frutos,21721,1
570755026718448,Javier Rubio De corazón a corazón,Camilo Andres Monroy Pardo,20894,3
157146724439549,Luis Bernardo Vélez,Luis Bernardo Vélez,20263,5
2179680032345809,Cesar Augusto Torres Ríos,Cesar Augusto Torres Ríos,20200,1
906104439492802,Daniel Duque Velásquez.,Daniel Duque Velásquez.,20183,3
100119084876379,Lida Escobar,Lida Beatriz Escobar Leal,20029,1
116618421366582,Guatapé Progresa,Dairo Mesa,20004,2
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sánchez,19981,6
100537461368132,Elkin Zapata Valencia Concejal,Jeferson Morales,19356,3
103575326004904,German Pacheco Hawkins,German Pacheco Hawkins,19206,3
103249256022085,José García Aristizabal,These ads ran without a disclaimer,19135,1
2280357942291111,Luis Carlos Velásquez,Luis Carlos Velásquez,18519,7
645168172181457,Gobernación de Caldas,Eikon Digital SAS,18519,8
2156874387878167,Yilber Leandro Saavedra,Yilber Leandro Saavedra,18094,7
1589652347763879,Aquileo Medina A,Aquileo Medina Arteaga,17961,2
1119413181474050,El Avispero Mov,Movilizatorio,17611,1
110406578590674,Astrid Rodriguez,Astrid Rodriguez,17412,1
1668886976475466,David Gutierrez Mantilla,Jorge Luis,17155,6
104444729065513,Victoria Segovia,These ads ran without a disclaimer,17130,12
1482897701997453,Paloma Valencia,Paloma Valencia,16497,1
1273292796093918,Nicolás Toro Muñoz,Nicolás Toro Muñoz,16489,1
191459311042712,Jaime Andrés,Jaime Andrés,16003,1
305443930185737,Juan Pérez,Juan Pérez,15842,18
1569688113329878,Evony - The King's Return,These ads ran without a disclaimer,15787,1
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro,15782,4
1488419784774409,Alcaldía de Soledad,Alcaldía Municipal de Soledad,15536,3
1648417351861251,Cristian Mestra,Cristian Mestra,15396,1
462660883763346,Ronald Mayorga,Ronald Mayorga,15253,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,15101,2
105109280969000,Agencia Axioma,Agencia Axioma,14207,3
1037508046302965,Griselda Janeth Restrepo Gallego,Griselda Janeth Restrepo Gallego,14027,1
116058284714214,Ruso Alcalde,Profe Mikhail Krasnov,13723,1
1623979207858057,Hanner Concejal,Hanner Concejal,13321,1
100319211712051,Walter Salas,Walter Manuel Salas Quinto,13240,2
191210184867688,Julián Serna Concejal,Julian Andres Serna Ruíz,12959,2
1649671688486614,Juan Carlos Muñoz Sepulveda,Juan Carlos Sepulveda Muñoz,12536,2
501373887030423,Alberto Sanjuanelo,Alberto Sanjuanelo,12031,1
264386463968386,Nubia Stella Martínez,Centro Democrático - Comunidad Oficial,11396,1
1319410371405224,Marketing Político,Mauricio Florez-Morris,10946,1
1314470175266037,Liderazgo politico,Mauricio Florez-Morris,10931,1
102081595994435,Comunidad Nuevo Liberalismo Antioquia,Daniel Gonzalez Gomez,10859,1
437554710309705,Jesús Sepúlveda Bermonth / Concejal de Cúcuta 2021-2023,Jhonattan Alejandro Sarmiento Castilla,10620,1
267696020706452,Orlando Saavedra Zuleta,Luis Fernando Guerra,10604,1
109581228202676,Luis Fernando Velazquez Bueno,Luis Fernando Velazquez Bueno,10367,2
108675595132967,Karol Martínez Silva,Karol Martinez Silva,10367,1
1150942755027141,MMconsultor,MMconsultores,10301,1
109036971779080,Marco Antonio Urbano Gaviria,Marco Antonio Urbano Gaviria,10187,1
102565081094412,Orlando Ariza Por Vélez,Orlando Ariza Por Vélez,10119,1
306667680053810,Álvaro Acevedo - Concejal de Bogotá,Alvaro Acevedo,10087,1
108494648780234,Innovar para avanzar,Innovar para avanzar,9985,1
571161286689388,Fundación Mamacitas en bici,Fundación Mamacitas en bici,9873,1
184284351706738,Lotería de Bogotá,Lotería de Bogotá,9485,1
102383079246422,Paulo Gómez,Paulo Gómez,9409,1
994154957311674,Eliécer Arteaga Vargas,Eliecer Arteaga Vargas,8316,2
268302663513603,Personeria Municipal de Palmira,Personeria Municipal de Palmira,8172,1
1584499998299846,Movimiento Juvenil Giganteño,Movimiento Juvenil Giganteño,7601,1
100979089555293,Jose Bedoya,These ads ran without a disclaimer,7454,12
398583357661790,Papo Amín,Papo Amín,7376,2
1519510178128827,Carlos Andrés Hernández Zuluaga,Carlos Andrés Hernández Zuluaga,7355,1
2098087750318204,Amed Velasquez,Amed Velasquez,7333,1
107787104895388,La Ópttica Popayán,La Óptica Popayán,7130,2
106730265597018,UT Gestión Empleo,These ads ran without a disclaimer,7098,1
114510821145145,Previred Popayán / Tarjeta Médica,Previred Tarjeta Médica,6830,2
114493997065399,Berenice Bedoya,Sor Berenice Bedoya Perez,6418,1
122989028111811,Alexander Ruiz,Edgar Alexander Ruiz Garcia,6216,1
101772341304724,HUILA Digital,HUILA Digital,6057,3
1097160080323759,Alcaldía de Guachené Cauca,Alcaldía de Guachené Cauca,6021,1
861234197280988,Stefany Gómez Concejala de Armenia,Stefany Gomez Murillo,5956,1
