Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,390
Bangkok,8511
Bueng Kan,≤100
Buriram,193
Chachoengsao,141
Chai Nat,111
Chaiyaphum,123
Chanthaburi,≤100
Chiang Mai,307
Chiang Rai,178
Chon Buri,490
Chumphon,306
Kalasin,114
Kamphaeng Phet,≤100
Kanchanaburi,134
Khon Kaen,260
Krabi,213
Lampang,122
Lamphun,≤100
Loei,≤100
Lop Buri,105
Mae Hong Son,≤100
Maha Sarakham,126
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,286
Nakhon Phanom,103
Nakhon Ratchasima,395
Nakhon Sawan,291
Nakhon Si Thammarat,1428
Nan,≤100
Narathiwat,≤100
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,371
Pathum Thani,297
Pattani,205
Phangnga,183
Phatthalung,317
Phayao,139
Phetchabun,118
Phetchaburi,262
Phichit,155
Phitsanulok,1284
Phrae,≤100
Phuket,2176
Prachin Buri,≤100
Prachuap Khiri Khan,169
Ranong,≤100
Ratchaburi,150
Rayong,434
Roi Et,193
Sa Kaeo,≤100
Sakon Nakhon,157
Samut Prakan,252
Samut Sakhon,176
Samut Songkhram,225
Saraburi,115
Satun,156
Sing Buri,≤100
Sisaket,240
Songkhla,1656
Sukhothai,≤100
Suphan Buri,142
Surat Thani,4825
Surin,245
Tak,≤100
Trang,145
Trat,≤100
Ubon Ratchathani,311
Udon Thani,199
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,≤100
Yasothon,263
