Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,≤100
Apurímac Region,≤100
Arequipa Region,101
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,≤100
Cusco Region,168
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,169
Junín Region,≤100
La Libertad Region,102
Lambayeque Region,111
Lima Region,828
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,126
Puno Region,≤100
San Martín Region,114
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
