Location name,Amount spent (AED)
Abu Dhabi,332
Dubai,577
Emirate of Ajman,119
Emirate of Sharjah,257
Fujairah,≤100
Ras al-Khaimah,≤100
Umm al-Quwain,≤100
Unknown,≤100
