Location name,Amount spent (TRY)
Adana Province,581
Adıyaman Province,≤100
Afyonkarahisar Province,120
Aksaray Province,140
Amasya Province,≤100
Ankara Province,1787
Antalya Province,741
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,339
Ağrı Province,≤100
Balıkesir Province,900
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,778
Denizli Province,254
Diyarbakır Province,150
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,1608
Erzincan Province,124
Erzurum Province,≤100
Eskişehir Province,257
Gaziantep Province,376
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,330
Isparta Province,108
Istanbul Province,7219
Iğdır Province,≤100
Kahramanmaraş Province,156
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,240
Kilis Province,≤100
Kocaeli Province,274
Konya Province,377
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,276
Mardin Province,≤100
Mersin Province,669
Muğla Province,241
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,132
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,534
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,525
Tokat Province,≤100
Trabzon Province,135
Tunceli Province,1742
Unknown,≤100
Uşak Province,118
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,152
Çanakkale Province,154
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1420
Şanlıurfa Province,201
Şırnak Province,≤100
