Location name,Amount spent (VND)
An Giang Province,20597
Bà Rịa–Vũng Tàu Province,34991
Bình Dương Province,122119
Bình Phước Province,23036
Bình Thuận Province,32682
Bình Định Province,20416
Bạc Liêu Province,11070
Bắc Giang Province,68529
Bắc Kạn Province,5924
Bắc Ninh Province,74014
Bến Tre Province,20630
Cao Bằng Province,20623
Cà Mau Province,12326
Cần Thơ,18093
Da Nang,22370
Gia Lai Province,20758
Haiphong,33899
Ho Chi Minh City,2008182
Hà Giang Province,29483
Hà Nam Province,12977
Hà Tĩnh Province,56234
Hòa Bình Province,22115
Hưng Yên Province,28991
Hải Dương Province,61878
Hậu Giang Province,5457
Khánh Hòa Province,39845
Kiên Giang Province,23063
Kon Tum Province,11891
Lai Châu Province,5556
Long An Province,18541
Lào Cai Province,26184
Lâm Đồng Province,32567
Lạng Sơn Province,27805
Nam Định Province,23344
Nghệ An Province,65788
Ninh Bình Province,20038
Ninh Thuận Province,10919
Phú Thọ Province,51203
Phú Yên Province,9689
Quảng Bình Province,19714
Quảng Nam Province,22953
Quảng Ngãi Province,103712
Quảng Ninh Province,15259
Quảng Trị Province,15825
Sóc Trăng Province,11524
Sơn La Province,28189
Thanh Hóa Province,72680
Thái Bình Province,28934
Thái Nguyên Province,52467
Thừa Thiên–Huế Province,16972
Tiền Giang Province,20872
Trà Vinh Province,18944
Tuyên Quang Province,162249
Tây Ninh Province,23005
Unknown,316
Vĩnh Long Province,13739
Vĩnh Phúc Province,33660
Yên Bái Province,29457
Điện Biên Province,16619
Đắk Lắk Province,42990
Đắk Nông Province,6718
Đồng Nai Province,119010
Đồng Tháp Province,18266
