Location name,Amount spent (SEK)
Blekinge County,3699
Dalarna County,7471
Gotland County,1726
Gävleborg County,8252
Halland County,7365
Jämtland County,3864
Jönköping County,8684
Kalmar County,5759
Kronoberg County,4443
Norrbotten County,7764
Skåne County,35442
Stockholm County,71730
Södermanland County,7372
Unknown,≤100
Uppsala County,10328
Värmland County,7052
Västerbotten County,7154
Västernorrland County,6410
Västmanland County,7391
Västra Götaland County,49338
Örebro County,8055
Östergötland County,11704
