Location name,Amount spent (CAD)
Alberta,16649
British Columbia,19061
Manitoba,2715
New Brunswick,1617
Newfoundland and Labrador,795
Northwest Territories,117
Nova Scotia,2226
Nunavut,≤100
Ontario,44291
Prince Edward Island,289
Quebec,18009
Saskatchewan,2690
Unknown,≤100
Yukon,174
