Location name,Amount spent (JPY)
Aichi Prefecture,61351
Akita Prefecture,1607
Aomori Prefecture,2077
Chiba Prefecture,21134
Ehime Prefecture,3794
Fukui Prefecture,2079
Fukuoka Prefecture,50954
Fukushima Prefecture,3642
Gifu Prefecture,5127
Gunma Prefecture,4188
Hiroshima Prefecture,8604
Hokkaido,12983
Hyōgo Prefecture,18944
Ibaraki Prefecture,6903
Ishikawa Prefecture,3287
Iwate Prefecture,2428
Kagawa Prefecture,2597
Kagoshima Prefecture,2939
Kanagawa Prefecture,50850
Kumamoto Prefecture,4962
Kyoto Prefecture,17401
Kōchi Prefecture,1780
Mie Prefecture,4706
Miyagi Prefecture,13242
Miyazaki Prefecture,2496
Nagano Prefecture,6034
Nagasaki Prefecture,4019
Nara Prefecture,4265
Niigata Prefecture,4358
Okayama Prefecture,5369
Okinawa Prefecture,6160
Osaka Prefecture,32561
Saga Prefecture,3424
Saitama Prefecture,22172
Shiga Prefecture,4474
Shimane Prefecture,1308
Shizuoka Prefecture,12434
Tochigi Prefecture,4374
Tokushima Prefecture,1747
Tokyo,114767
Tottori Prefecture,928
Toyama Prefecture,2400
Unknown,≤100
Wakayama Prefecture,2341
Yamagata Prefecture,2244
Yamaguchi Prefecture,2892
Yamanashi Prefecture,2212
Ōita Prefecture,5146
