Location name,Amount spent (DKK)
Capital Region of Denmark,39468
Central Denmark Region,18228
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8242
Region of Southern Denmark,15922
Unknown,≤100
Zealand Region,12156
