Location name,Amount spent (RON)
Alba County,593
Arad County,734
Argeș County,993
Bacău County,895
Bihor County,957
Bistrița-Năsăud County,435
Botoșani County,509
Brașov County,1498
Brăila County,550
Bucharest,5824
Buzău County,709
Caraș-Severin County,424
Cluj County,2381
Constanța County,1586
Covasna County,436
Călărași County,314
Dolj County,922
Dâmbovița County,714
Galați County,877
Giurgiu County,334
Gorj County,571
Harghita County,573
Hunedoara County,853
Ialomița County,308
Iași County,3610
Ilfov County,823
Maramureș County,1055
Mehedinți County,324
Mureș County,975
Neamț County,907
Olt County,444
Prahova County,1356
Satu Mare County,531
Sibiu County,806
Suceava County,887
Sălaj County,421
Teleorman County,339
Timiș County,1576
Tulcea County,302
Unknown,≤100
Vaslui County,427
Vrancea County,565
Vâlcea County,660
