Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,929
Bicol Region,13644
Cagayan Valley,4403
Calabarzon,21779
Caraga,2394
Central Luzon,12839
Central Visayas,7944
Cordillera Administrative Region,2161
Davao Region,4617
Eastern Visayas,4147
Ilocos Region,7678
Metro Manila,45796
Mimaropa,2264
Northern Mindanao,7552
Soccsksargen,3740
Unknown,≤100
Western Visayas,10445
Zamboanga Peninsula,3447
