Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
1468570519872644,Santiago Peña,PRANA SA,10114583,53
102917519228790,Bruno Defelippe,PautaPY,6314840,44
532716330164048,Sole Núñez,PautaPY,5541951,17
103771265752808,Vysokolán,Stephan Vysokolán,4443647,23
196599783696918,Efrain Alegre,Comunicá,4096580,122
102963512483270,PyElige,PY Elige,2776397,27
1964503917155087,Stephan Rasmussen,Stephan Rasmussen Gonzales,1981335,12
325540631525675,En La Tecla,En la Tecla,1975821,18
1222077187832207,Gustavo Leite,Gustavo Alfredo Leite Gusinky,1730079,6
1310731702357133,GEN,GEN,1581480,4
100490136261426,María Cristina Campuzano Senadora,María Cristina Campuzano Senadora,1392678,3
100959471597014,José Antonio Galeano,José Antonio Galeano,1376678,22
266016903502005,Senador Carlos Gómez Zelada,Senador Carlos Gómez Zelada,1309823,18
132554373464255,La Nación,La Nación,1297058,29
102266292553995,Sucia Política,Diego Ricardo Ramírez,1245142,26
114979542421407,Kattya González,Kattya Mabel Gonzalez Villanueva,1179985,3
943824938962084,Luis Fernando,Luis Fernando,1054347,42
532716330164048,Sole Núñez,Sole Núñez,1035203,19
100445112671378,Fernando Camacho Senador 2023,Fernando Camacho Senador 2023,1031946,16
124625661665046,Patrick Kemper,Patrick Paul Kemper Thiede,944820,6
1753251591598763,Dani Mujica,Dani Mujica,845108,19
242118359309178,Ricardo Estigarribia,Ricardo Estigarribia,840848,7
153958777947957,Paulo Reichardt,Paulo Reichardt,777554,7
105545157610039,Euclides Acevedo,Marco Antonio Martinez Almiron,717730,15
501786636589565,Rocio Vallejo,Hilda Maria Del Rocio Vallejo Avalos,687123,4
543009152823138,Tio Enri,Tio Enri,629164,19
647864758888200,Seba Garcia,Sebastian Garcia,620288,25
102123052860574,Giampaolo Ficorilli Diputado,Giampaolo Ficorilli Gomez,618002,11
107104641909575,Rubén Rubin,Rubén Rubin,595086,3
1692624097481207,Mujeres GANAR,Mujeres GANAR,586131,98
241512319274531,Sixto Pereira,Sixto Pereira,497685,1
326351758062718,Juan Grassi,Juan Domingo Galeano Grassi,472624,2
614795685343483,Belén Maldonado,Belén Maldonado,468528,8
446986732060546,ROSA BELLA Cáceres,Antonio Villalba Caceres,451574,8
420279778178605,Adelaida Diputada 2023,Adelaida Cantero De Torres,445649,3
109626041763537,Natalicio Chase,Global Agencia,424935,13
196406677113756,Rafael Filizzola,Comunicá,414055,13
2033757383511165,Mario Paz Castaing,Rocio Magali Moreno Vera,411104,6
102044605201604,TIKI González Vaesken,TIKI González Vaesken,406559,7
1608625919447826,Blanca Ovelar Senadora Nacional,Blanca Ovelar Senadora Nacional,390708,7
105787598141250,Ever Rojas Borja,IMAGEN DE GOBIERNO,366945,9
118397948223791,Oscar Tuma,Óscar Luis Tuma Bogado,365417,10
498022813689642,Oscar González Drakeford,Oscar González,362294,10
102109369350535,Christa Rivas,Christa Violeta Rivas Caballero,360776,6
104848285795590,Ing. Fede Olmedo,Federico Augusto Olmedo Ramírez,358938,12
1810962229216340,Fidel Zavala,Laura Lorena Meaurio Paniagua,358866,27
100347296248614,Rosa Sosa,Rosa Mercedes Sosa Paredes,358521,15
100778482648263,Cerini 2023,DGWorld Consultoría Digital,356761,2
106257452820864,Tito Saguier,PautaPY,355885,2
1011833908887463,Atilio Alegre,IMAGEN DE GOBIERNO,328733,12
100325392010551,Johana Vega 2023,Clicnovo,323044,6
724051717643013,Miguel Prieto,Miguel Prieto,303397,9
441529192988697,Rubén Penayo Senador 40/44,Rubén Penayo Senador 40/44,296766,2
102467002671611,Jorge Heisecke,Jorge Heisecke,293679,10
517426394969535,Ricardo Canese,Ricardo Canese,290505,6
102137945346781,Movimiento Ciudadanía Activa,PautaPY,287516,2
100617802815343,Orlando Penner Senador 2023,Orlando Penner Senador 2023,274946,8
103681832340596,Kpeto Cano,Kpeto Cano,269685,8
110382581891524,,Biedermann Publicidad S.A.,265614,4
292909490881181,Carlos Echeverría Intendente,TEJUParaguay,253903,1
150741961754512,Mercedes Canese Antúnez,Mercedes Canese,248061,5
441416009351818,Johanna Ortega,Johanna Ortega,244468,7
100223835693365,Juanvi Fernández,Juanvi Fernández,242205,3
