Location name,Amount spent (SEK)
Blekinge County,3608
Dalarna County,7392
Gotland County,1790
Gävleborg County,7519
Halland County,7009
Jämtland County,3456
Jönköping County,8187
Kalmar County,5932
Kronoberg County,4140
Norrbotten County,6122
Skåne County,30975
Stockholm County,58863
Södermanland County,7332
Unknown,≤100
Uppsala County,9887
Värmland County,6321
Västerbotten County,7197
Västernorrland County,5940
Västmanland County,6576
Västra Götaland County,39678
Örebro County,7055
Östergötland County,10441
