Location name,Amount spent (IDR)
Aceh,1764428
Bali,1965461
Bangka–Belitung Islands,484819
Banten,2826216
Bengkulu,813844
Central Java,9946111
Central Kalimantan,985087
Central Sulawesi,1478678
East Java,14294449
East Kalimantan,1690879
East Nusa Tenggara,3148285
Gorontalo,1506930
Jakarta,5953286
Jambi,1215439
Lampung,2283973
Maluku,1282347
North Kalimantan,353558
North Maluku,1165541
North Sulawesi,3098356
North Sumatra,4911510
Papua (province),1272392
Riau,2604970
Riau Islands Province,873521
South Kalimantan,1934882
South Sulawesi,3040639
South Sumatra,3650252
Southeast Sulawesi,703528
Special Region of Yogyakarta,1377493
Unknown,20112
West Java,14239807
West Kalimantan,1686210
West Nusa Tenggara,1923219
West Papua,680217
West Sulawesi,457605
West Sumatra,1542745
