Location name,Amount spent (CZK)
Central Bohemian Region,9314
Hradec Králové Region,3320
Karlovy Vary Region,2054
Liberec Region,2808
Moravian-Silesian Region,7845
Olomouc Region,4647
Pardubice Region,3034
Plzeň Region,4567
Prague,20622
South Bohemian Region,6255
South Moravian Region,10253
Unknown,≤100
Vysočina Region,2575
Zlín Region,3693
Ústí nad Labem Region,5855
