Location name,Amount spent (ISK)
Capital Region,97738
Eastern Region,3500
Northeastern Region,7960
Northwestern Region,1673
Southern Peninsula,9446
Southern Region,11075
Unknown,≤100
Western Region,2452
Westfjords,1608
