Location name,Amount spent (ZAR)
Eastern Cape,2202
Free State,1173
Gauteng,12101
KwaZulu-Natal,4574
Limpopo,1452
Mpumalanga,1439
North West,1086
Northern Cape,564
Unknown,≤100
Western Cape,9261
