Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,39639,27
120343698070515,Liberální institut,Liberální institut,16780,4
314038193269,211 - Zdravotní pojišťovna ministerstva vnitra ČR,Zdravotní pojišťovna ministerstva vnitra ČR,11570,23
197010357446014,Ondřej Prokop,Ondrej Prokop,8576,6
176688316811,Vodafone CZ,Vodafone Czech Republic a.s.,4347,2
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,4339,15
137778619615350,Voyo.cz,TV Nova s. r. o.,3246,13
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol a.s.,2790,4
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,2771,6
163628220353870,L'Oréal Paris,These ads ran without a disclaimer,2475,1
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,2129,4
397919187215,Evropská komise v ČR,Evropská komise v ČR,1866,2
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,1738,5
143332019059223,DOC Mercury,Jakub Lorenc,1599,1
214827221987263,Andrej Babiš,Andrej Babiš,1572,2
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,1369,2
356451014434612,Marian Jurečka,KDU-ČSL,1208,9
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,1163,5
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,1060,2
424114981002397,Český rozhlas Plus,Český rozhlas,967,24
102838059012428,Spi-leep CZ,These ads ran without a disclaimer,887,1
183982251648511,TRASK,These ads ran without a disclaimer,865,1
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,815,6
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,781,4
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",741,9
52479821102,Týdeník Respekt,Týdeník Respekt,729,3
495496033796328,Stanislav Blaha,Stanislav Blaha,698,4
55408246161,Amnesty International ČR,Amnesty International ČR,674,2
43855944703,Svobodní,Svobodní,652,11
693725074166331,Naše zdravotnictví,Naše zdravotnictví,592,4
106249944988044,Seeberger CZ,These ads ran without a disclaimer,591,1
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,575,2
822146574595819,Agrární komora České republiky,Agrární komora České republiky,555,2
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,533,18
203656526961481,Klub Pátečníků - patecnici.cz,Klub Pátečníků s.r.o.,531,4
40583438943,NESEHNUTÍ,NESEHNUTÍ,531,2
107563435940797,Skanska v ČR a SR,Skanska,521,4
460558621177512,Zálohujme.cz,Zálohujme,518,2
107898832590939,European Commission,European Commission,511,4
103059308644099,Replastuj.cz,Replastuj.cz,507,1
107996628144164,PRAHA 6 SOBĚ,PRAHA SOBĚ,505,6
287724754662359,HateFree Culture,HateFree Culture,501,2
178362315106,European Parliament,European Parliament,474,18
711658465662315,XTV,XTV,427,11
251656685576,KDU-ČSL,KDU-ČSL,404,2
90002267161,TOP 09,TOP 09,401,4
117823623864,Transparency International ČR,Transparency International ČR,395,4
171936526824,EKONOM.cz,"Economia, a.s.",388,3
163186777045684,Piráti Královéhradecký kraj,Česká pirátská strana,374,7
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,372,2
100201752249169,Spolu21,Občanská demokratická strana,358,2
416190415243,Fakulta životního prostředí - ČZU v Praze,Fakulta životního prostředí,334,17
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,331,1
100609955039699,Corrency,Corrency,322,2
229294384295513,"Přemysl Rabas, senátor",Premysl Rabas,312,1
109664387308142,Poradna pro obce,KVB advokátní kancelář s.r.o.,311,4
111108757492137,Libor Vondráček • Svobodní,Libor Vondráček • Svobodní,309,10
369035059843617,REMAX Delux,Tomáš Šimek,307,8
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,296,1
130631260290858,Piráti Středočeský kraj,Česká pirátská strana,286,1
199064530104466,Hodina Země ČR,ZO ČSOP Veronica,270,5
103779080972210,Youradio Talk,Youradio Talk,267,1
111185114809191,UNICAplasma,These ads ran without a disclaimer,266,1
101954531415600,Lukáš Vlček • STAN,Starostové a nezávislí,266,1
579215965436046,JSNS,"Člověk v tísni, o.p.s.",243,4
551976351670874,Zdeněk Hraba,Zdeněk Hraba - senátor,223,3
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",216,1
155406703122,Arnika,Arnika - Centrum pro podporu občanů,215,7
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,204,7
154228456802,Divadlo v Řeznické,"Divadlo v Řeznické, o. p. s.",194,3
1395881230682843,Luděk Niedermayer,Luděk Niedermayer,192,1
321762510282,Michal Kučera,Michal Kučera,191,3
275383259179951,Tepelná čerpadla IVT,Tepelná čerpadla IVT,183,4
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,177,3
109787574497667,Aliance pro budoucnost,Aliance pro budoucnost,175,1
106691471931611,PRAHA 2 SOBĚ,PRAHA SOBĚ,173,3
113743658978459,Meltingpot,Meltingpot,173,2
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita Česká republika,164,3
378827025796132,Peak.cz,Peak.cz,164,12
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,163,6
611867212191950,Svoboda a přímá demokracie Zlínský kraj - SPD,Svoboda a přímá demokracie (SPD),159,1
104940818596176,Akordy Václava Hnátka,Michaela Kaufmanová,159,2
102500511866371,Karel Smetana,Karel Smetana,156,2
100647378751279,Pavla Pivoňka Vaňková STAN,Pavla Pivoňka Vaňková,155,1
104208542332869,"Fridays for cars, energy and freedom - CZ",Fridays For Cars CZ,148,5
