Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,911
Bicol Region,8983
Cagayan Valley,2928
Calabarzon,19298
Caraga,1901
Central Luzon,21271
Central Visayas,7728
Cordillera Administrative Region,1386
Davao Region,4114
Eastern Visayas,3594
Ilocos Region,3103
Metro Manila,26964
Mimaropa,3333
Northern Mindanao,4227
Soccsksargen,3043
Unknown,≤100
Western Visayas,7195
Zamboanga Peninsula,2209
