Location name,Amount spent (VND)
An Giang Province,5451
Bà Rịa–Vũng Tàu Province,9117
Bình Dương Province,53358
Bình Phước Province,3391
Bình Thuận Province,3844
Bình Định Province,20501
Bạc Liêu Province,2157
Bắc Giang Province,6865
Bắc Kạn Province,1939
Bắc Ninh Province,10990
Bến Tre Province,3238
Cao Bằng Province,107551
Cà Mau Province,2581
Cần Thơ,2255
Da Nang,25542
Gia Lai Province,4321
Haiphong,9040
Ho Chi Minh City,399465
Hà Giang Province,2483
Hà Nam Province,2417
Hà Tĩnh Province,16785
Hòa Bình Province,4011
Hưng Yên Province,4625
Hải Dương Province,5250
Hậu Giang Province,1204
Khánh Hòa Province,3128
Kiên Giang Province,3960
Kon Tum Province,1676
Lai Châu Province,849
Long An Province,2834
Lào Cai Province,2516
Lâm Đồng Province,8756
Lạng Sơn Province,5488
Nam Định Province,5716
Nghệ An Province,65900
Ninh Bình Province,3161
Ninh Thuận Province,2004
Phú Thọ Province,5569
Phú Yên Province,3408
Quảng Bình Province,4113
Quảng Nam Province,10610
Quảng Ngãi Province,3773
Quảng Ninh Province,4092
Quảng Trị Province,3529
Sóc Trăng Province,3901
Sơn La Province,4505
Thanh Hóa Province,11378
Thái Bình Province,5190
Thái Nguyên Province,5570
Thừa Thiên–Huế Province,5257
Tiền Giang Province,3810
Trà Vinh Province,3271
Tuyên Quang Province,4536
Tây Ninh Province,3179
Unknown,≤100
Vĩnh Long Province,1870
Vĩnh Phúc Province,2946
Yên Bái Province,24777
Điện Biên Province,2365
Đắk Lắk Province,10550
Đắk Nông Province,2853
Đồng Nai Province,36889
Đồng Tháp Province,3180
