Location name,Amount spent (USD)
Azuay Province,≤100
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,≤100
Cotopaxi Province,≤100
El Oro Province,≤100
Esmeraldas Province,≤100
Galápagos Province,≤100
Guayas Province,548
Imbabura Province,≤100
Loja Province,≤100
Los Ríos Province,≤100
Manabí Province,≤100
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,≤100
Santa Elena Province,≤100
Santo Domingo de los Tsáchilas Province,≤100
Sucumbíos Province,≤100
Tungurahua Province,≤100
Unknown,≤100
Zamora-Chinchipe Province,≤100
