Location name,Amount spent (HTG)
Artibonite Department,398
Centre Department,175
Grand'Anse Department,≤100
Nippes Department,≤100
Nord Department,175
Nord-Est Department,175
Nord-Ouest Department,175
Ouest Department,1400
Sud Department,≤100
Sud-Est Department,≤100
