Location name,Amount spent (USD)
Al Anbar Governorate,105
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,432
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,190
Erbil Governorate,376
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,144
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,145
Saladin Governorate,110
Sulaymaniyah Governorate,264
Unknown,≤100
Wasit Governorate,≤100
