Location name,Amount spent (MYR)
Johor,332
Kedah,221
Kelantan,118
Kuala Lumpur,484
Labuan,≤100
Malacca,140
Negeri Sembilan,126
Pahang,323
Penang,183
Perak,259
Perlis,≤100
Putrajaya,≤100
Sabah,261
Sarawak,333
Selangor,726
Terengganu,121
Unknown,≤100
