Location name,Amount spent (DKK)
Capital Region of Denmark,23364
Central Denmark Region,12316
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5386
Region of Southern Denmark,10789
Unknown,≤100
Zealand Region,7479
