Location name,Amount spent (TWD)
Changhua,7134
Chiayi,1662
Hsinchu,3600
Hsinchu City,6040
Hualien,2745
Kaohsiung,22085
Keelung City,2605
Kinmen,381
Lienchiang,≤100
Miaoli,4109
Nantou,2989
New Taipei City,35512
Penghu,487
Pingtung,4689
Taichung,26663
Tainan,15253
Taipei,29549
Taitung,1777
Taoyuan City,20338
Unknown,3091
Yilan,2269
Yunlin,3902
