Location name,Amount spent (IDR)
Aceh,1858089
Bali,2224898
Bangka–Belitung Islands,558399
Banten,3820971
Bengkulu,1084665
Central Java,12006038
Central Kalimantan,1147689
Central Sulawesi,1461654
East Java,15249879
East Kalimantan,2301032
East Nusa Tenggara,2360568
Gorontalo,765321
Jakarta,7370320
Jambi,1461967
Lampung,2853159
Maluku,1305779
North Kalimantan,418507
North Maluku,709886
North Sulawesi,2343318
North Sumatra,4750844
Papua (province),1204539
Riau,2286829
Riau Islands Province,1083153
South Kalimantan,1451543
South Sulawesi,4208931
South Sumatra,3413872
Southeast Sulawesi,1114226
Special Region of Yogyakarta,1867998
Unknown,1150
West Java,15258647
West Kalimantan,2310284
West Nusa Tenggara,2341788
West Papua,605023
West Sulawesi,634577
West Sumatra,1852189
