Location name,Amount spent (INR)
Andaman and Nicobar Islands,213
Andhra Pradesh,42094
Arunachal Pradesh,743
Assam,13017
Bihar,71010
Chandigarh,1954
Chhattisgarh,13229
Dadra and Nagar Haveli,1154
Delhi,50130
Goa,1847
Gujarat,50953
Haryana,44862
Himachal Pradesh,10945
Jammu and Kashmir,6990
Jharkhand,18281
Karnataka,117290
Kerala,21867
Lakshadweep,≤100
Madhya Pradesh,48714
Maharashtra,161825
Manipur,1723
Meghalaya,65952
Mizoram,595
Nagaland,661
Odisha,11508
Puducherry,2556
Punjab region,36474
Rajasthan,92431
Sikkim,1056
Tamil Nadu,68180
Telangana,41521
Tripura,5191
Unknown,≤100
Uttar Pradesh,118337
Uttarakhand,13541
West Bengal,52899
