Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1196
Bicol Region,5303
Cagayan Valley,3444
Calabarzon,21714
Caraga,3149
Central Luzon,13050
Central Visayas,8626
Cordillera Administrative Region,1719
Davao Region,4358
Eastern Visayas,4758
Ilocos Region,4508
Metro Manila,28929
Mimaropa,3694
Northern Mindanao,4353
Soccsksargen,3978
Unknown,≤100
Western Visayas,8405
Zamboanga Peninsula,3306
