Location name,Amount spent (NZD)
Auckland Region,2405
Bay of Plenty Region,414
Canterbury,883
Gisborne District,≤100
Hawke's Bay,226
Manawatu-Wanganui,325
Marlborough Region,≤100
Nelson Province,109
Northland Region,241
Otago,362
Southland,137
Taranaki,159
Tasman District,≤100
Unknown,≤100
Waikato,2726
Wellington Region,701
West Coast,≤100
