Location name,Amount spent (COP)
Amazonas,3821
Antioquia,7349807
Arauca,118469
Atlantico,607188
Bolivar,582670
Boyaca,450061
Caldas,814299
Caqueta,101932
Casanare,278301
Cauca,1688941
Cesar,180478
Choco,123395
Cordoba,673893
Cundinamarca,691645
Distrito Especial,3572392
Guainia,2594
Guaviare,34642
Huila,1011002
La Guajira,69270
Magdalena,229799
Meta,1233852
Narino,233908
Norte de Santander,1504618
Putumayo,223740
Quindio,200578
Risaralda,687868
San Andres y Providencia,13433
Santander,1349414
Sucre,304585
Tolima,442035
Unknown,770
Valle del Cauca,5312831
Vaupes,828
Vichada,1271
