Location name,Amount spent (INR)
Andaman and Nicobar Islands,273
Andhra Pradesh,18853
Arunachal Pradesh,1697
Assam,32251
Bihar,120264
Chandigarh,1711
Chhattisgarh,22100
Dadra and Nagar Haveli,1170
Delhi,40497
Goa,2177
Gujarat,63654
Haryana,49601
Himachal Pradesh,17730
Jammu and Kashmir,14043
Jharkhand,25388
Karnataka,79676
Kerala,28072
Lakshadweep,≤100
Madhya Pradesh,70172
Maharashtra,145320
Manipur,3371
Meghalaya,9201
Mizoram,1360
Nagaland,1457
Odisha,19778
Puducherry,1814
Punjab region,34765
Rajasthan,201974
Sikkim,1068
Tamil Nadu,52625
Telangana,35124
Tripura,8003
Unknown,≤100
Uttar Pradesh,144225
Uttarakhand,13245
West Bengal,72534
