Location name,Amount spent (PLN)
Greater Poland Voivodeship,4221
Kuyavian-Pomeranian Voivodeship,2346
Lesser Poland Voivodeship,4314
Lower Silesian Voivodeship,6734
Lublin Voivodeship,1880
Lubusz Voivodeship,1448
Masovian Voivodeship,10645
Opole Voivodeship,1028
Podkarpackie Voivodeship,1774
Podlaskie Voivodeship,865
Pomeranian Voivodeship,2782
Silesian Voivodeship,5228
Unknown,≤100
Warmian-Masurian Voivodeship,1247
West Pomeranian Voivodeship,2459
Łódź Voivodeship,4010
Świętokrzyskie Voivodeship,1243
