Location name,Amount spent (AED)
Abu Dhabi,497
Dubai,532
Emirate of Ajman,135
Emirate of Sharjah,233
Fujairah,≤100
Ras al-Khaimah,≤100
Umm al-Quwain,≤100
Unknown,≤100
