Location name,Amount spent (MXN)
Aguascalientes,33339
Baja California,70028
Baja California Sur,17663
Campeche,36670
Chiapas,44008
Chihuahua,57523
Coahuila de Zaragoza,34799
Colima,13688
Distrito Federal,198014
Durango,38440
Guanajuato,61664
Guerrero,29575
Hidalgo,27319
Jalisco,130548
Michoacán de Ocampo,51269
Morelos,39289
Nayarit,13430
Nuevo León,162925
Oaxaca,28175
Puebla,141495
Querétaro Arteaga,43427
Quintana Roo,40018
San Luis Potosi,20459
Sinaloa,26845
Sonora,35794
State of Mexico,107576
Tabasco,23335
Tamaulipas,41642
Tlaxcala,11819
Unknown,≤100
Veracruz,80440
Yucatán,122756
Zacatecas,15183
