Location name,Amount spent (HUF)
Baranya County,145049
Borsod-Abaúj-Zemplén County,232860
Budapest,889209
Bács-Kiskun County,211498
Békés County,135544
Csongrád County,168275
Fejér County,170796
Győr-Moson-Sopron County,192569
Hajdú-Bihar County,214345
Heves County,121483
Jász-Nagykun-Szolnok County,160190
Komárom-Esztergom County,127223
Nógrád County,69581
Pest County,480520
Somogy County,111952
Szabolcs-Szatmár-Bereg County,205878
Tolna County,86533
Unknown,≤100
Vas County,99778
Veszprém County,139627
Zala County,113476
