Location name,Amount spent (USD)
Azuay Province,912
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,137
Chimborazo Province,150
Cotopaxi Province,≤100
El Oro Province,472
Esmeraldas Province,298
Galápagos Province,≤100
Guayas Province,2489
Imbabura Province,162
Loja Province,180
Los Ríos Province,440
Manabí Province,1198
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1229
Santa Elena Province,301
Santo Domingo de los Tsáchilas Province,972
Sucumbíos Province,≤100
Tungurahua Province,135
Unknown,≤100
Zamora-Chinchipe Province,≤100
