Location name,Amount spent (SEK)
Blekinge County,8132
Dalarna County,15889
Gotland County,3866
Gävleborg County,15608
Halland County,17478
Jämtland County,7905
Jönköping County,18812
Kalmar County,12049
Kronoberg County,9684
Norrbotten County,13704
Skåne County,77352
Stockholm County,159290
Södermanland County,15820
Unknown,≤100
Uppsala County,22509
Värmland County,14601
Västerbotten County,15692
Västernorrland County,13786
Västmanland County,14556
Västra Götaland County,101990
Örebro County,15677
Östergötland County,23255
