Location name,Amount spent (IDR)
Aceh,645789
Bali,1378334
Bangka–Belitung Islands,319952
Banten,2212856
Bengkulu,509776
Central Java,7599901
Central Kalimantan,682761
Central Sulawesi,868283
East Java,11190223
East Kalimantan,1197074
East Nusa Tenggara,1913127
Gorontalo,554891
Jakarta,4800735
Jambi,692495
Lampung,1494586
Maluku,409652
North Kalimantan,180207
North Maluku,311108
North Sulawesi,1904775
North Sumatra,4200319
Papua (province),757252
Riau,1622254
Riau Islands Province,733413
South Kalimantan,671242
South Sulawesi,1854872
South Sumatra,1992282
Southeast Sulawesi,667831
Special Region of Yogyakarta,936861
Unknown,5299
West Java,10125487
West Kalimantan,1509499
West Nusa Tenggara,1418834
West Papua,319050
West Sulawesi,311564
West Sumatra,784996
