Location name,Amount spent (UYU)
Artigas Department,162
Canelones Department,621
Cerro Largo Department,222
Colonia Department,342
Durazno Department,126
Flores Department,≤100
Florida Department,134
Lavalleja Department,129
Maldonado Department,784
Montevideo Department,6450
Paysandú Department,227
Rivera Department,772
Rocha Department,157
Río Negro Department,120
Salto Department,378
San José Department,157
Soriano Department,141
Tacuarembó Department,187
Treinta y Tres Department,232
Unknown,≤100
