Location name,Amount spent (USD)
Al Anbar Governorate,116
Al-Qādisiyyah Governorate,≤100
Babil Governorate,105
Baghdad Governorate,624
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,117
Erbil Governorate,350
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,175
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,199
Saladin Governorate,≤100
Sulaymaniyah Governorate,292
Unknown,≤100
Wasit Governorate,≤100
