Location name,Amount spent (SEK)
Blekinge County,4090
Dalarna County,7559
Gotland County,1819
Gävleborg County,7741
Halland County,8409
Jämtland County,3813
Jönköping County,9181
Kalmar County,5815
Kronoberg County,5972
Norrbotten County,7453
Skåne County,41954
Stockholm County,69833
Södermanland County,8365
Unknown,4003
Uppsala County,11128
Värmland County,6907
Västerbotten County,8629
Västernorrland County,7694
Västmanland County,6873
Västra Götaland County,48611
Örebro County,7605
Östergötland County,12042
