Location name,Amount spent (DKK)
Capital Region of Denmark,35484
Central Denmark Region,15641
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,6658
Region of Southern Denmark,14342
Unknown,≤100
Zealand Region,32296
