Location name,Amount spent (RON)
Alba County,410
Arad County,770
Argeș County,1105
Bacău County,695
Bihor County,828
Bistrița-Năsăud County,570
Botoșani County,374
Brașov County,1037
Brăila County,453
Bucharest,4501
Buzău County,541
Caraș-Severin County,366
Cluj County,1259
Constanța County,898
Covasna County,273
Călărași County,255
Dolj County,822
Dâmbovița County,520
Galați County,697
Giurgiu County,255
Gorj County,737
Harghita County,454
Hunedoara County,552
Ialomița County,219
Iași County,1491
Ilfov County,859
Maramureș County,646
Mehedinți County,279
Mureș County,890
Neamț County,668
Olt County,345
Prahova County,938
Satu Mare County,370
Sibiu County,514
Suceava County,962
Sălaj County,288
Teleorman County,293
Timiș County,1050
Tulcea County,237
Unknown,≤100
Vaslui County,368
Vrancea County,711
Vâlcea County,475
