Location name,Amount spent (EGP)
Al Sharqia Governorate,1524
Alexandria Governorate,1053
Aswan Governorate,169
Asyut Governorate,369
Beheira Governorate,618
Beni Suef Governorate,355
Cairo Governorate,2634
Dakahlia Governorate,1194
Damietta Governorate,394
Faiyum Governorate,443
Gharbia Governorate,1248
Giza Governorate,934
Ismailia Governorate,407
Kafr el-Sheikh Governorate,565
Luxor Governorate,115
Matrouh Governorate,453
Minya Governorate,479
Monufia Governorate,595
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,416
Qalyubia Governorate,965
Qena Governorate,301
Red Sea Governorate,106
Sohag Governorate,540
South Sinai Governorate,≤100
Suez Governorate,135
Unknown,≤100
