Location name,Amount spent (HUF)
Baranya County,589032
Borsod-Abaúj-Zemplén County,1001763
Budapest,3237805
Bács-Kiskun County,854801
Békés County,537629
Csongrád County,711880
Fejér County,698260
Győr-Moson-Sopron County,828358
Hajdú-Bihar County,875195
Heves County,444770
Jász-Nagykun-Szolnok County,613490
Komárom-Esztergom County,509970
Nógrád County,269970
Pest County,1945089
Somogy County,456306
Szabolcs-Szatmár-Bereg County,861290
Tolna County,370592
Unknown,238
Vas County,423463
Veszprém County,542365
Zala County,416536
