Location name,Amount spent (EUR)
Alsace,628
Aquitaine,1300
Auvergne,407
Basse-Normandie,446
Bourgogne,495
Bretagne,1136
Centre,789
Champagne-Ardenne,423
Corse,132
Franche-Comté,327
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,606
Languedoc-Roussillon,1175
Limousin,226
Lorraine,734
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1050
New Caledonia,≤100
Nord-Pas-de-Calais,1410
Pays de la Loire,1464
Picardie,609
Poitou-Charentes,599
Provence-Alpes-Côte d'Azur,2238
Reunion Island,≤100
Rhône-Alpes,2249
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4674
