Location name,Amount spent (MYR)
Johor,623
Kedah,296
Kelantan,198
Kuala Lumpur,694
Labuan,≤100
Malacca,189
Negeri Sembilan,197
Pahang,402
Penang,235
Perak,335
Perlis,≤100
Putrajaya,≤100
Sabah,358
Sarawak,337
Selangor,1116
Terengganu,207
Unknown,≤100
