Location name,Amount spent (SEK)
Blekinge County,3424
Dalarna County,7210
Gotland County,1621
Gävleborg County,6739
Halland County,6936
Jämtland County,3327
Jönköping County,8182
Kalmar County,5625
Kronoberg County,4013
Norrbotten County,5665
Skåne County,29294
Stockholm County,57074
Södermanland County,6804
Unknown,≤100
Uppsala County,9193
Värmland County,6198
Västerbotten County,6703
Västernorrland County,5310
Västmanland County,5923
Västra Götaland County,42845
Örebro County,6772
Östergötland County,9914
