Location name,Amount spent (CZK)
Central Bohemian Region,29310
Hradec Králové Region,13451
Karlovy Vary Region,6940
Liberec Region,11108
Moravian-Silesian Region,27979
Olomouc Region,14575
Pardubice Region,13030
Plzeň Region,15085
Prague,48404
South Bohemian Region,15068
South Moravian Region,32302
Unknown,≤100
Vysočina Region,12057
Zlín Region,12977
Ústí nad Labem Region,22599
