Location name,Amount spent (EUR)
Alsace,777
Aquitaine,1623
Auvergne,489
Basse-Normandie,538
Bourgogne,602
Bretagne,1278
Centre,1050
Champagne-Ardenne,557
Corse,188
Franche-Comté,410
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,752
Languedoc-Roussillon,1571
Limousin,300
Lorraine,1025
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1333
New Caledonia,≤100
Nord-Pas-de-Calais,1698
Pays de la Loire,1307
Picardie,776
Poitou-Charentes,777
Provence-Alpes-Côte d'Azur,2746
Reunion Island,≤100
Rhône-Alpes,2885
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4700
