Location name,Amount spent (GTQ)
Alta Verapaz Department,912
Baja Verapaz Department,311
Chimaltenango Department,1150
Chiquimula Department,556
El Progreso Department,255
Escuintla Department,1660
Guatemala Department,20471
Huehuetenango Department,1558
Izabal Department,1153
Jalapa Department,384
Jutiapa Department,891
Petén Department,607
Quetzaltenango Department,2483
Quiché Department,1021
Retalhuleu Department,597
Sacatepéquez Department,1094
San Marcos Department,3668
Santa Rosa Department,476
Sololá Department,634
Suchitepéquez Department,926
Totonicapán Department,583
Unknown,≤100
Zacapa Department,368
