Location name,Amount spent (CAD)
Alberta,8095
British Columbia,20645
Manitoba,3413
New Brunswick,1964
Newfoundland and Labrador,1356
Northwest Territories,158
Nova Scotia,1730
Nunavut,187
Ontario,29247
Prince Edward Island,299
Quebec,17937
Saskatchewan,2002
Unknown,≤100
Yukon,177
