Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
171980796153771,Siraj ul Haq,Siraj ul Haq,12505,7
207929953869,U.S. Consulate General Karachi,These ads ran without a disclaimer,12198,1
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,9886,18
246046232150591,Pakistan Peoples Party - PPP,Pakistan Peoples Party,4291,1
122578684096711,Usman Ahmad Bhatti,Haider Munir,3682,4
108692958881661,Abdul Rehman Bhatti,حسن مرزا,3597,2
109493084543028,Four Corners with Tarar,NEXT TV,2430,1
105690462092880,MM News,M M DIGITAL (PRIVATE) LIMITED,2186,5
103605848295012,Royal king Usa pakistan Imran Ch Mpa pp120 tobateksingh,These ads ran without a disclaimer,1702,1
111791888503468,Hafiz Shahid Ghug,Hamza Sharif,1701,3
377782882622312,PPP Chakwal,Mohsin Farooq Abbasi,1575,3
2167817683483103,Kashif Ansari,Bss-Digital,1458,1
448981518645687,Chaudhary Shahid Bashir,Chaudhary Shahid Bashir,1416,4
113223601404356,CH Imran Saleemi Official,Ahsan Ur Rehman,1145,1
144494398930201,Jamaat-e-Islami Pakistan,Jamaat-e-Islami Pakistan,1049,1
114186743283123,Australia Express,These ads ran without a disclaimer,1047,1
117570394575101,Rai Waqas Aslam Kharal,Rai Waqas Aslam Kharal,1000,4
1530699783736760,Mahbob Shah Mahbob   محبوب شاه محبوب,These ads ran without a disclaimer,851,1
2060049387610062,WARIS KHAN NA19 Swabi,WARIS KHAN NA19 Swabi,760,1
330546873795572,Mehar Muhammad Saleem,Mehar Muhammad Saleem,532,1
2107858016193986,Voice of Sindh,Voice of Sindh,447,3
101201205983426,Mian Athar Mahmood,Syed Raza Haider Zaidi,442,1
234578749895304,Relief Foundation International,Relief Foundation International,434,1
1114193285282308,Abdullah Khan Dummer,Abdullah Khan Dummer,414,1
101206152972905,Voice of PP 60,M Aniq Hassan Randhawa,409,1
104901805715054,Syeda Rubina Zahra Gardezi,Syeda Rubina Zahra Gardezi,408,2
451802268196520,Aniq Randhawa,Aniq Randhawa,350,1
1723513924558492,Mian Farhad Ali,Mian Farhad Ali,323,1
111291941446373,aur.digital,These ads ran without a disclaimer,321,1
108876282120706,Qazi Shafiq,Qazi Shafiq,319,1
977981842265214,Pukaar,Pukaar,317,1
1548871702035547,Університет імені Альфреда Нобеля,These ads ran without a disclaimer,284,1
1609596756036502,Haji Abdus Sami,These ads ran without a disclaimer,248,1
104450055828721,Rasheed Barcha King,These ads ran without a disclaimer,235,1
105396082410434,White News English,White News English,212,2
925019934219066,Mardan Ali Zaidi,Mardan Ali Zaidi,164,1
101080725159933,Allama Shabbir Hasan Maisami,These ads ran without a disclaimer,145,1
100406588910914,Brave Broadcasting.Com,These ads ran without a disclaimer,119,1
104699294839888,Pakistan Tribune,Pakistan Tribune,105,1
108466810634593,Rehmat Welfare Organization - RWO,Rehmat Welfare Organization - RWO,105,1
101737024836683,Anjuman-E-Tajran انجمن تاجران,Mujahid Maqsood Butt,104,2
457514774319202,White News پښتو,White News پښتو,≤100,1
101160702224736,White News,White News,≤100,1
173070036386587,Raja Tariq Murtaza,Raja Tariq Murtaza,≤100,1
224263390969298,Haji Sajid Tareen,These ads ran without a disclaimer,≤100,1
109120380422173,Rana Sajjad,Rana Sajjad Hussain,≤100,1
102384149455341,PMLN Lahore Official,These ads ran without a disclaimer,≤100,1
100427168538381,Sardar Mehboob Khan Khetran,Sardar Mehboob Khan Khetran,≤100,1
105033488803280,Zita Tv,These ads ran without a disclaimer,≤100,1
556475357727793,World Organisation for Animal Health,These ads ran without a disclaimer,≤100,1
107647258831836,Weregreenly- Magazine Page 3,These ads ran without a disclaimer,≤100,1
130465418685,GISMA Business School,These ads ran without a disclaimer,≤100,1
621083371323466,인민망,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
112077024899370,Comics Stadium,These ads ran without a disclaimer,≤100,1
105187402405067,Smart Better Manly,These ads ran without a disclaimer,≤100,2
